1958;314.67;315.43
1959;315.58;316.35
1960;316.19;316.96
1961;317.01;317.79
1962;317.7;318.47
1963;318.35;319.13
1964;318.71;319.49
1965;319.42;320.2
1966;321.03;321.81
1967;321.96;322.75
1968;322.89;323.69
1969;324.12;324.91
1970;325.13;325.93
1971;326.01;326.82
1972;327.55;328.36
1973;328.64;329.45
1974;329.58;330.56
1975;330.62;331.6
1976;331.62;332.6
1977;333.6;334.59
1978;334.91;335.89
1979;336.81;337.83
1980;338.29;339.26
1981;339.91;340.85
1982;340.78;341.7
1983;343.2;344.12
1984;345;345.88
1985;346.12;347.04
1986;347.49;348.36
1987;349.28;350.14
1988;351.62;352.52
1989;352.91;353.84
1990;354.41;355.26
1991;355.21;356.02
1992;355.68;356.5
1993;357.03;357.92
1994;359.1;359.96
1995;360.82;361.67
1996;362.39;363.23
1997;364.51;365.28
1998;367.3;368.05
1999;368.26;368.93
2000;369.83;370.46
2001;371.42;372.09
2002;373.98;374.72
2003;376.17;376.93
2004;377.68;378.48
2005;380.31;381.09
2006;382.02;382.84
2007;384.19;385.07
2008;385.79;386.64
2009;387.63;388.43
2010;389.99;390.8
2011;392.06;392.86
2012;394.57;395.27
2013;397.03;397.78
2014;399.15;399.88
2015;402.06;402.72
2016;404.64;405.33
2017;407;407.71
2018;409.27;409.95
2019;411.98;412.66
2020;414.26;414.94
2021;413.93;417.28
