2002.29;0.00;134.28
2002.35;66.88;70.59
2002.62;-219.80;53.36
2002.71;-242.15;64.95
2002.79;-209.27;39.05
2002.87;-210.97;35.79
2002.96;-196.51;36.71
2003.04;-146.45;41.40
2003.12;-159.04;29.73
2003.20;-93.36;25.92
2003.29;-47.34;25.76
2003.36;-39.42;28.20
2003.54;-216.66;21.24
2003.62;-352.24;22.00
2003.71;-393.55;22.31
2003.79;-391.19;22.74
2003.87;-394.07;22.48
2003.96;-354.46;22.31
2004.02;-377.83;25.92
2004.13;-384.93;22.51
2004.21;-363.18;21.05
2004.29;-300.80;21.09
2004.37;-319.03;21.34
2004.46;-337.81;21.21
2004.54;-434.52;19.09
2004.62;-559.14;19.86
2004.71;-599.30;20.83
2004.79;-618.47;18.79
2004.87;-575.81;20.53
2004.96;-551.95;20.55
2005.04;-565.95;19.55
2005.12;-544.34;20.46
2005.20;-498.99;20.51
2005.29;-491.22;20.33
2005.37;-453.76;20.55
2005.46;-501.86;20.90
2005.54;-630.70;20.08
2005.62;-820.34;19.86
2005.71;-885.56;19.72
2005.79;-876.40;19.50
2005.87;-874.87;18.99
2005.96;-824.06;23.51
2006.04;-847.90;20.40
2006.12;-800.22;20.53
2006.20;-778.82;20.26
2006.29;-804.29;20.65
2006.37;-793.83;20.41
2006.45;-805.34;22.18
2006.54;-891.18;22.05
2006.62;-1019.01;20.53
2006.71;-1078.15;21.77
2006.79;-1064.96;21.40
2006.87;-1093.23;20.86
2006.96;-1102.32;21.41
2007.04;-1069.85;22.08
2007.12;-1028.10;21.49
2007.20;-1036.88;20.81
2007.29;-1023.69;21.33
2007.37;-1012.57;20.97
2007.45;-1031.64;21.23
2007.54;-1161.37;21.02
2007.62;-1357.53;22.52
2007.71;-1422.15;22.09
2007.79;-1447.22;22.80
2007.87;-1424.83;23.63
2007.96;-1364.12;22.40
2008.04;-1325.83;22.49
2008.12;-1343.85;24.10
2008.21;-1288.51;22.49
2008.29;-1308.48;24.36
2008.37;-1322.68;23.25
2008.46;-1325.99;22.23
2008.54;-1473.89;23.06
2008.62;-1633.79;22.50
2008.71;-1698.50;22.33
2008.79;-1686.49;22.18
2008.87;-1612.48;23.70
2008.96;-1540.70;23.08
2009.04;-1521.47;22.94
2009.12;-1567.67;23.44
2009.20;-1567.15;22.93
2009.29;-1547.86;20.98
2009.37;-1529.81;20.79
2009.46;-1537.87;20.45
2009.54;-1646.94;21.89
2009.62;-1856.74;20.85
2009.71;-1910.35;19.96
2009.79;-1883.69;20.57
